"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FCompositeCoreMergeShader","Global","SF_Pixel","2","13774"
"FCompositePostProcessPrimitivesPS","Global","SF_Pixel","14","37961"
"FComputeBrightnessPS","Global","SF_Pixel","1","1074"
"FComputeCubeMaxLuminancePS","Global","SF_Pixel","1","1062"
"FComputeShaderYCbCrToRGB","Global","SF_Compute","1","1395"
"FComputeSkyEnvMapDiffuseIrradianceCS","Global","SF_Compute","1","3354"
"FComputeVariableRateShadingImageGeneration","Global","SF_Compute","1","1115"
"FConvolveSpecularFaceCS","Global","SF_Compute","1","2549"
"FCopyCompressCS","Global","SF_Compute","20","45634"
"FCopyCubemapToCubeFacePS","Global","SF_Pixel","1","1829"
"FCopyCubemapToIlluminanceMeterCubemapPS","Global","SF_Pixel","1","1539"
"FCopyDepthPS","Global","SF_Pixel","2","1009"
"FCopyDiffuseIrradiancePS","Global","SF_Pixel","1","1755"
"FCopyEyeAdaptationToTextureCS","Global","SF_Compute","1","580"
"FCopyPreviousTransformsCS","Global","SF_Compute","2","1914"
"FCopyRectPS","Global","SF_Pixel","1","554"
"FCopyRectSrvPS","Global","SF_Pixel","1","554"
"FCopySceneColorPS","Global","SF_Pixel","2","1303"
"FCopySceneColorTexturePS","Global","SF_Pixel","1","1411"
"FCopySceneColorToCubeFacePS","Global","SF_Pixel","1","1435"
"FCopyShadowMaps2DPS","Global","SF_Pixel","1","609"
"FCopyShadowMapsCubePS","Global","SF_Pixel","1","1114"
"FCopyTextureCS_Texture2DArray_Texture2DArray_Float4","Global","SF_Compute","1","793"
"FCopyTextureCS_Texture2DArray_Texture2DArray_Int324","Global","SF_Compute","1","785"
"FCopyTextureCS_Texture2DArray_Texture2DArray_Uint324","Global","SF_Compute","1","789"
"FCopyTextureCS_Texture2DArray_Texture2D_Float4","Global","SF_Compute","1","835"
"FCopyTextureCS_Texture2DArray_Texture2D_Int324","Global","SF_Compute","1","822"
"FCopyTextureCS_Texture2DArray_Texture2D_Uint324","Global","SF_Compute","1","823"
"FCopyTextureCS_Texture2DArray_Texture3D_Float4","Global","SF_Compute","1","797"
"FCopyTextureCS_Texture2DArray_Texture3D_Int324","Global","SF_Compute","1","790"
"FCopyTextureCS_Texture2DArray_Texture3D_Uint324","Global","SF_Compute","1","792"
"FCopyTextureCS_Texture2D_Texture2DArray_Float4","Global","SF_Compute","1","826"
"FCopyTextureCS_Texture2D_Texture2DArray_Int324","Global","SF_Compute","1","810"
"FCopyTextureCS_Texture2D_Texture2DArray_Uint324","Global","SF_Compute","1","815"
"FCopyTextureCS_Texture2D_Texture2D_Float4","Global","SF_Compute","1","820"
"FCopyTextureCS_Texture2D_Texture2D_Int324","Global","SF_Compute","1","806"
"FCopyTextureCS_Texture2D_Texture2D_Uint324","Global","SF_Compute","1","808"
"FCopyTextureCS_Texture2D_Texture3D_Float4","Global","SF_Compute","1","814"
"FCopyTextureCS_Texture2D_Texture3D_Int324","Global","SF_Compute","1","800"
"FCopyTextureCS_Texture2D_Texture3D_Uint324","Global","SF_Compute","1","802"
"FCopyTextureCS_Texture3D_Texture2DArray_Float4","Global","SF_Compute","1","799"
"FCopyTextureCS_Texture3D_Texture2DArray_Int324","Global","SF_Compute","1","791"
"FCopyTextureCS_Texture3D_Texture2DArray_Uint324","Global","SF_Compute","1","794"
"FCopyTextureCS_Texture3D_Texture2D_Float4","Global","SF_Compute","1","825"
"FCopyTextureCS_Texture3D_Texture2D_Int324","Global","SF_Compute","1","811"
"FCopyTextureCS_Texture3D_Texture2D_Uint324","Global","SF_Compute","1","813"
"FCopyTextureCS_Texture3D_Texture3D_Float4","Global","SF_Compute","1","782"
"FCopyTextureCS_Texture3D_Texture3D_Int324","Global","SF_Compute","1","774"
"FCopyTextureCS_Texture3D_Texture3D_Uint324","Global","SF_Compute","1","776"
"FCopyToCubeFaceVS","Global","SF_Vertex","1","1337"
"FCopyUIntBufferCS","Global","SF_Compute","1","807"
"FCopyVelocityGridCS","Global","SF_Compute","1","750"
"FCubeDownsampleMaxPS","Global","SF_Pixel","1","1749"
"FCubeDownsamplePS","Global","SF_Pixel","1","1845"
"FCubeFilterPS","Global","SF_Pixel","1","2321"
"FDebugVariableRateShadingPS","Global","SF_Pixel","2","2012"
"FDeferredDecalVS","Global","SF_Vertex","1","492"
"FDeferredLightVS","Global","SF_Vertex","2","2860"
"FDeformGuideCS","Global","SF_Compute","5","8008"
"FDesaturatePS","Global","SF_Pixel","1","671"
"FDeviceEncodingOnlyPS","Global","SF_Pixel","4","24628"
"FDiffuseIrradianceReferenceCS","Global","SF_Compute","1","1920"
"FDisplayMappingPS","Global","SF_Pixel","4","5991"
"FDistortionApplyScreenPS","Global","SF_Pixel","2","3757"
"FDistortionMergeScreenPS","Global","SF_Pixel","2","1505"
"FDitheredTransitionStencilPS","Global","SF_Pixel","1","700"
"FDownsampleIntegrateCubemapIlluminancePS","Global","SF_Pixel","1","1730"
"FDownsamplePS","Global","SF_Pixel","2","1859"
"FDrawDebugCardAtlasCS","Global","SF_Compute","1","1536"
"FDrawDebugCardGuidesCS","Global","SF_Compute","1","3078"
"FDrawTexturePS","Global","SF_Pixel","1","690"
"FDumpTextureCS","Global","SF_Compute","3","1436"
"FEvaluateConcatenateScatterCS","Global","SF_Compute","13","147375"
"FExrSwizzlePS","Global","SF_Pixel","12","29696"
"FExrSwizzleVS","Global","SF_Vertex","1","891"
"FFXAAPS","Global","SF_Pixel","12","49868"
"FFillTextureCS","Global","SF_Compute","1","798"
"FFilterPS","Global","SF_Pixel","32","40554"
"FFilterVS","Global","SF_Vertex","7","7521"
"FFusionBlendCS","Global","SF_Compute","2","2403"
"FFusionSetupCS","Global","SF_Compute","1","5266"
"FGPUDebugCrashUtilsCS","Global","SF_Compute","2","1133"
"FGPUSceneDebugRenderCS","Global","SF_Compute","1","8233"
"FGPUSceneSetInstancePrimitiveIdCS","Global","SF_Compute","1","2019"
"FGPUSkinCacheCS","Global","SF_Compute","27","76365"
"FGTAOUpsamplePS","Global","SF_Pixel","1","953"
"FGenerateConservativeDepthBufferCS","Global","SF_Compute","1","2580"
"FGenerateMipsCS","Global","SF_Compute","4","3414"
"FGenerateMipsIndirectCS","Global","SF_Compute","4","3414"
"FGenerateMipsPS","Global","SF_Pixel","1","654"
"FGenerateMipsVS","Global","SF_Vertex","1","528"
"FGeneratePaniniUVDisplacementCS","Global","SF_Compute","1","1723"
"FGroomCacheUpdatePassCS","Global","SF_Compute","1","2424"
"FHMDDistortionPS","Global","SF_Pixel","1","941"
"FHMDDistortionVS","Global","SF_Vertex","1","957"
"FHZBBuildCS","Global","SF_Compute","60","105409"
"FHZBBuildPS","Global","SF_Pixel","2","2028"
"FHairCardsDeformationCS","Global","SF_Compute","2","4845"
"FHairDebugPrintHairSkinCacheCS","Global","SF_Compute","1","8353"
"FHairDebugPrintInstanceCS","Global","SF_Compute","1","43786"
"FHairDebugPrintMemoryCS","Global","SF_Compute","1","74790"
"FHairInitMeshSamplesCS","Global","SF_Compute","2","2773"
"FHairInterpolationCS","Global","SF_Compute","124","437844"
"FHairMeshesInterpolateCS","Global","SF_Compute","1","1697"
"FHairPrintLODInfoCS","Global","SF_Compute","1","3961"
"FHairProjectionHairDebugCS","Global","SF_Compute","2","58056"
"FHairTranscodeCS","Global","SF_Compute","2","3088"
